alias,concept_id,canonical_concept,alias_source
Cu6PSe5I,C612F1CD420,Cu6PSe5I,canonical
nanochannel membrane,C613599D905,nanochannel membrane,canonical
pi-pi stacking,C6153FCE2C1,pi-pi stacking,canonical
graphene,C6181968680,graphene,canonical
PEG200DMA,C61B11BC7C1,PEG200DMA,canonical
specific output power density,C61EE27FD08,specific output power density,canonical
Co2O6,C61FB6F8F84,Co2O6,canonical
Ba3Pn2,C620605AE22,Ba3Pn2,canonical
reduced graphene oxide,C6210B1A223,reduced graphene oxide,canonical
RGO,C6210B1A223,reduced graphene oxide,controlled_rule
polyurethane (PU),C621A7A9629,polyurethane (PU),canonical
polyurethane,C621A7A9629,polyurethane (PU),controlled_rule
thermopower ionic,C62A769A945,thermopower ionic,canonical
[FeCl4]-,C62CAECD9E0,[FeCl4]-,canonical
Rb2AgSbI6,C62FA357F29,Rb2AgSbI6,canonical
entropy-charge coupled transport. symmetric treatment of entropy,C630F15475A,entropy-charge coupled transport. symmetric treatment of entropy,canonical
La3Te4,C632259D5F2,La3Te4,canonical
MgSc2S4,C63298AEA88,MgSc2S4,canonical
SO4,C6386C58B01,SO4,canonical
cu3bis3. polymorphic phase transition,C639A6FFB30,cu3bis3. polymorphic phase transition,canonical
band engineering,C63ED77BD64,band engineering,canonical
band alignment,C63ED77BD64,band engineering,controlled_rule
band convergence,C63ED77BD64,band engineering,controlled_rule
SnS2,C63FF1B953F,SnS2,canonical
Na3PS4,C640EE25D20,Na3PS4,canonical
Rb2ScHgCl6,C642B30C9A9,Rb2ScHgCl6,canonical
WS2,C6437052C92,WS2,canonical
MASnI3,C643C6C9A09,MASnI3,canonical
intrinsically low lattice thermal conductivity,C64912E934E,intrinsically low lattice thermal conductivity,canonical
Sr2MgSO6,C64E3A39EDD,Sr2MgSO6,canonical
AgMnGePbSbTe5,C650241AFF1,AgMnGePbSbTe5,canonical
Sn2S3,C650C0B37A1,Sn2S3,canonical
eutogel,C6519E088EB,eutogel,canonical
ASbTe2,C65517537C6,ASbTe2,canonical
La3NbO7,C65A3B9D6B2,La3NbO7,canonical
TEMPO,C65E336E20C,TEMPO,canonical
NaClO4,C65ED617935,NaClO4,canonical
lattice thermal conductivity kappa,C6621A1ADAB,lattice thermal conductivity kappa,canonical
Na2O,C6626CD43C2,Na2O,canonical
lowers lattice thermal conductivity,C664FBFD218,lowers lattice thermal conductivity,canonical
CuCrTi2Se6,C66783056AB,CuCrTi2Se6,canonical
Mg7Si4Y,C6689B24769,Mg7Si4Y,canonical
cationic reduced soret coefficient dominating output,C66CE8198CF,cationic reduced soret coefficient dominating output,canonical
suppress lattice thermal conductivity,C6709FC358A,suppress lattice thermal conductivity,canonical
zinc-iodine thermal charging cell,C6731C06C02,zinc-iodine thermal charging cell,canonical
CoSe2,C67672CDAF0,CoSe2,canonical
supporting-electrolyte viscosity/resistance tradeoff,C67730C3F1A,supporting-electrolyte viscosity/resistance tradeoff,canonical
superionic transition,C6775C55BEF,superionic transition,canonical
superionic conductor,C6775C55BEF,superionic transition,controlled_rule
superionic phase transition,C6775C55BEF,superionic transition,controlled_rule
other ionic-liquid/solvent mixtures. selective solvation,C679A22D520,other ionic-liquid/solvent mixtures. selective solvation,canonical
LiCaH3,C679C375BEF,LiCaH3,canonical
ZnCrSe2,C67D50C024B,ZnCrSe2,canonical
CePb2,C680982C8F2,CePb2,canonical
Ti2O7,C68E4B8C8BC,Ti2O7,canonical
[Fe2(CH3COO)4(L1)2],C690878CED4,[Fe2(CH3COO)4(L1)2],canonical
ion redistribution,C692C0A6D9E,ion redistribution,canonical
carbon electrode,C696BC0A1E1,carbon electrode,canonical
La4Sb3,C698F4FE4BC,La4Sb3,canonical
CuS4,C69A31CEEA4,CuS4,canonical
AgNiF3,C69A55E5F5F,AgNiF3,canonical
Nb2O6,C69D25B2847,Nb2O6,canonical
salts near titanium electrodes. different cation/anion soret coefficients,C69E0E61C9B,salts near titanium electrodes. different cation/anion soret coefficients,canonical
CH2,C6A0A190EC8,CH2,canonical
Bi2MO4Cl,C6AD71DB036,Bi2MO4Cl,canonical
Na2SO3,C6AE4BB6D7B,Na2SO3,canonical
ACrX2,C6AF4664C16,ACrX2,canonical
supramolecular host-guest redox entropy,C6B063A770B,supramolecular host-guest redox entropy,canonical
Cs2AgAsI6,C6B17ED69E3,Cs2AgAsI6,canonical
Cu7PSe6,C6B56755D0B,Cu7PSe6,canonical
Cs3Sb2Cl9,C6BE52624CE,Cs3Sb2Cl9,canonical
high-entropy redox/ion coupling,C6C09287FDB,high-entropy redox/ion coupling,canonical
mxene electrodes,C6C1696CC63,mxene electrodes,canonical
copper electrode,C6C76863E52,copper electrode,canonical
Cu electrode,C6C76863E52,copper electrode,controlled_rule
Cu electrodes,C6C76863E52,copper electrode,controlled_rule
copper electrodes,C6C76863E52,copper electrode,controlled_rule
crown-ether-mediated ion migration,C6C8122BE84,crown-ether-mediated ion migration,canonical
AgInSnPbBiTe5,C6C97045A42,AgInSnPbBiTe5,canonical
moisture-gradient-enhanced ionic thermoelectric generator. coupled heat,C6C98B1A00A,moisture-gradient-enhanced ionic thermoelectric generator. coupled heat,canonical
U3TSb5,C6CC10F2189,U3TSb5,canonical
seebeck coefficient,C6CDB23F33C,seebeck coefficient,canonical
competition between soret thermodiffusion,C6CE032C21C,competition between soret thermodiffusion,canonical
CH2Cl2,C6D358EAE93,CH2Cl2,canonical
diffraction patterns,C6D3F5C8617,diffraction patterns,canonical
magnesium-ion thermal charging cell,C6D41AFDA8C,magnesium-ion thermal charging cell,canonical
HfS2,C6D6399FFC8,HfS2,canonical
YST08,C6DACC46D75,YST08,canonical
positive seebeck coefficients,C6DC5DD518A,positive seebeck coefficients,canonical
B2O3-3,C6DD35AC195,B2O3-3,canonical
polyvinylpyrrolidone (PVP),C6DD69CF62E,polyvinylpyrrolidone (PVP),canonical
PVP,C6DD69CF62E,polyvinylpyrrolidone (PVP),controlled_rule
CeO2,C6DEC1AEAD1,CeO2,canonical
Tl3H(SO4)2,C6DFF3E00F6,Tl3H(SO4)2,canonical
RyMxCo4,C6E111EB5CB,RyMxCo4,canonical
AgI-2,C6E1354C519,AgI-2,canonical
Et3Si,C6E1ADCF1C9,Et3Si,canonical
thermal-potential-induced redox reaction,C6E842E8A9A,thermal-potential-induced redox reaction,canonical
Mg3Bi2,C6E8BD257D2,Mg3Bi2,canonical
BaSe2,C6ED18877FA,BaSe2,canonical
ti3c2tx mxene hollow microsphere nanocomposite electrodes,C6F094BCE82,ti3c2tx mxene hollow microsphere nanocomposite electrodes,canonical
maximum power density,C6F0F083FB1,maximum power density,canonical
electronic conductivity,C6F22187716,electronic conductivity,canonical
[NTf2],C6F2BE6D437,[NTf2],canonical
AFeO3,C6F49F84640,AFeO3,canonical
ge/te ionic-size/charge-transfer effects form site-disordered alloys correlated,C6F51383EFE,ge/te ionic-size/charge-transfer effects form site-disordered alloys correlated,canonical
hofmeister effects create dual thermoelectric behavior ion channels,C6F5D106379,hofmeister effects create dual thermoelectric behavior ion channels,canonical
hexacyanoferrate redox electrode,C7032A2F7AB,hexacyanoferrate redox electrode,canonical
PdCuBiSe3,C7083D872E2,PdCuBiSe3,canonical
SnO2,C708A5286C3,SnO2,canonical
output power density,C708AECFA88,output power density,canonical
imidazolium ionic-liquid phase transition electrolyte,C7096F6ECC5,imidazolium ionic-liquid phase transition electrolyte,canonical
temperature-sensitive phase transition,C70B6BBB358,temperature-sensitive phase transition,canonical
soret-effect ionic thermoelectricity,C70FA19DDFB,soret-effect ionic thermoelectricity,canonical
TiZnF3,C7106EEC6AD,TiZnF3,canonical
carrageenan,C716D864376,carrageenan,canonical
SrReN3,C719F9D1F15,SrReN3,canonical
extremely low lattice thermal conductivity,C71A86B1F51,extremely low lattice thermal conductivity,canonical
hydration-shell regulation,C720E904BA7,hydration-shell regulation,canonical
hydration shell,C720E904BA7,hydration-shell regulation,controlled_rule
hydration structure,C720E904BA7,hydration-shell regulation,controlled_rule
B2O3-5,C72194A6957,B2O3-5,canonical
Si2Te6,C723560DB84,Si2Te6,canonical
redox entropy cu/cuso4 follows characteristic seebeck models,C72FC2F779F,redox entropy cu/cuso4 follows characteristic seebeck models,canonical
CrSi2,C72FCAF00A2,CrSi2,canonical
Mg2Si,C7342726E8E,Mg2Si,canonical
Cu2SnS3,C736BFAF39B,Cu2SnS3,canonical
AMO3,C738FB2147F,AMO3,canonical
Ca5M2Sb6,C73A43DBA94,Ca5M2Sb6,canonical
[Fe(CN)6],C73B79C2209,[Fe(CN)6],canonical
cs0.32wo3 nanoparticle nir photothermal nanofiber membrane coupled,C73EF7C72B6,cs0.32wo3 nanoparticle nir photothermal nanofiber membrane coupled,canonical
hydrogel nanochannel control greatly increase seebeck coefficient,C74661850E5,hydrogel nanochannel control greatly increase seebeck coefficient,canonical
NaFeO2,C7476A84190,NaFeO2,canonical
Ba2Tl2CuO6,C74D9D803C7,Ba2Tl2CuO6,canonical
LaCo1,C74EAC596A2,LaCo1,canonical
ClO4,C7507F5D319,ClO4,canonical
natural ficus elastica leaves. anion thermodiffusion,C75F7B7A382,natural ficus elastica leaves. anion thermodiffusion,canonical
photocatalytic redox-gradient regeneration,C7665C99E7F,photocatalytic redox-gradient regeneration,canonical
urea,C7713A07951,urea,canonical
Rb2TiBr6,C7762F88BBD,Rb2TiBr6,canonical
bacterial cellulose,C77E2C49599,bacterial cellulose,canonical
TiH0,C77EA171004,TiH0,canonical
deep eutectic solvent,C7802AE4324,deep eutectic solvent,canonical
DES,C7802AE4324,deep eutectic solvent,controlled_rule
glycerol,C780BB03909,glycerol,canonical
V2O3,C784264BC72,V2O3,canonical
Ag2S,C787F187281,Ag2S,canonical
RbZn4P3,C78A9C005D5,RbZn4P3,canonical
polyacrylamide (PAM),C78B8F896F7,polyacrylamide (PAM),canonical
PAM,C78B8F896F7,polyacrylamide (PAM),controlled_rule
polyacrylamide,C78B8F896F7,polyacrylamide (PAM),controlled_rule
Cs2YCuI6,C78BBA397B2,Cs2YCuI6,canonical
phase transition,C78D65254F9,phase transition,canonical
phase transitions,C78D65254F9,phase transition,cleaned_open_concept
MnO2,C78DE052B65,MnO2,canonical
BaRh2Ge4S4Te2,C78E59365D4,BaRh2Ge4S4Te2,canonical
Nb2XSe2,C791AA10E34,Nb2XSe2,canonical
MnY2Z,C792C375304,MnY2Z,canonical
chaotropic polymer-water disruption,C7932B1CE8C,chaotropic polymer-water disruption,canonical
BaTiO3,C7977C03A03,BaTiO3,canonical
Cu3SbSe4,C79788A0653,Cu3SbSe4,canonical
CaZr0,C7A0F9F6ED4,CaZr0,canonical
enables low-temperature crystallization of nanoscale n-type lst perovskite,C7A174C5B57,enables low-temperature crystallization of nanoscale n-type lst perovskite,canonical
K2SrCdSb2,C7A8B60F8EA,K2SrCdSb2,canonical
CuAg1,C7ADDEC7CE4,CuAg1,canonical
Cu2Se,C7B3E023ED0,Cu2Se,canonical
poly(vinyl alcohol) (PVA),C7B823B5BB0,poly(vinyl alcohol) (PVA),canonical
PVA,C7B823B5BB0,poly(vinyl alcohol) (PVA),controlled_rule
cnt photothermal conversion reinforce rubber,C7B9B57B8CA,cnt photothermal conversion reinforce rubber,canonical
Nb3SiTe6,C7BA1F8B549,Nb3SiTe6,canonical
tuning solvent entropy rather than only redox-ion solvation,C7C56EB2D6E,tuning solvent entropy rather than only redox-ion solvation,canonical
maximum output power density,C7CA4D45A30,maximum output power density,canonical
Lu2CoCrO6,C7D4E855764,Lu2CoCrO6,canonical
NaGeH3,C7D5A67BF03,NaGeH3,canonical
Ce3Pb,C7D73A63D8E,Ce3Pb,canonical
K2YAgI6,C7D91CC5E4E,K2YAgI6,canonical
cb/mwcnt photothermal materials,C7EDC11DB44,cb/mwcnt photothermal materials,canonical
Na2SO4,C7EE9DF4136,Na2SO4,canonical
photothermal conversion,C7EF3326ECB,photothermal conversion,canonical
photothermal heating,C7EF3326ECB,photothermal conversion,controlled_rule
[PF6],C7EFFC4F713,[PF6],canonical
RFe4Sb12,C7F369C6280,RFe4Sb12,canonical
AgCrSe2,C7FACAA1363,AgCrSe2,canonical
LiMn5Sb11,C7FBEFF20DB,LiMn5Sb11,canonical
BiS2,C7FC16824DB,BiS2,canonical
Ba3Co2O6(CO3)0,C801FEE07CF,Ba3Co2O6(CO3)0,canonical
Bi2O2Te,C804A544949,Bi2O2Te,canonical
TlSiF3,C8052FB9017,TlSiF3,canonical
PrCoO3,C8062A06027,PrCoO3,canonical
Cu3VS4,C808A082FF0,Cu3VS4,canonical
power conversion efficiency,C809F9A5BFD,power conversion efficiency,canonical
Cs2AgBiCl6,C80F5940E0D,Cs2AgBiCl6,canonical
MgY2Se4,C8110BB62F7,MgY2Se4,canonical
urea amide derivatives synergistically enlarge redox entropy difference,C812F88A438,urea amide derivatives synergistically enlarge redox entropy difference,canonical
Ba2MYTe5,C81B4A7548C,Ba2MYTe5,canonical
ZrSe2,C81C02F7A74,ZrSe2,canonical
cotton/ppy photothermal layer,C821707300A,cotton/ppy photothermal layer,canonical
coupling-enhanced hydrogel thermoelectric effect,C821E06F649,coupling-enhanced hydrogel thermoelectric effect,canonical
LiBeH3,C822194E392,LiBeH3,canonical
RbCu3SnSe4,C822A4C5ED0,RbCu3SnSe4,canonical
K2LiBiCl6,C82700C3933,K2LiBiCl6,canonical
AgSbSe2,C8275067B4A,AgSbSe2,canonical
reduces hygroscopic ion channels,C827B4C0478,reduces hygroscopic ion channels,canonical
thermal conductivity kappa,C82BC98D75E,thermal conductivity kappa,canonical
infrared spectroscopy,C82D3A2EECE,infrared spectroscopy,canonical
HAuCl4,C834938B9D1,HAuCl4,canonical
ThOs2Al10,C839F1B617A,ThOs2Al10,canonical
Ba2PrPtO6,C83AA145CCB,Ba2PrPtO6,canonical
high conductivity,C83B8CE46CF,high conductivity,canonical
Bi4Te4Br2,C83E128C84D,Bi4Te4Br2,canonical
ultra-low lattice thermal conductivity,C83F99EC4D7,ultra-low lattice thermal conductivity,canonical
precipitation-driven thermogalvanic conversion,C84062B5962,precipitation-driven thermogalvanic conversion,canonical
CsPbO3,C841B4C68D7,CsPbO3,canonical
energy conversion efficiency,C842144CE90,energy conversion efficiency,canonical
ion-dipole interaction,C845F498233,ion-dipole interaction,canonical
X2LaCuCl6,C849FD317E8,X2LaCuCl6,canonical
cellulose nanofiber scaffold,C84C6A613D4,cellulose nanofiber scaffold,canonical
BO3,C84D4F184E8,BO3,canonical
3D ion-channel hydration network,C8556D9912E,3D ion-channel hydration network,canonical
electronic thermal conductivity,C8563CE162E,electronic thermal conductivity,canonical
SrFe1,C856FF740CF,SrFe1,canonical
oriented ionic transport nanochannels maintain ionic transport,C85A93D1A8D,oriented ionic transport nanochannels maintain ionic transport,canonical
BaF2,C85DEC148A4,BaF2,canonical
BaNpO3,C862926CD57,BaNpO3,canonical
V2O5-0,C862A7CC329,V2O5-0,canonical
InGeCl3,C863030F461,InGeCl3,canonical
Cu3TlTe2,C86370B0B48,Cu3TlTe2,canonical
BaMoO3,C86EF7BF70C,BaMoO3,canonical
impedance spectroscopy,C86FD936824,impedance spectroscopy,canonical
gel-confined redox transport,C872881EC3C,gel-confined redox transport,canonical
P3HT,C8739CADFFB,P3HT,canonical
butler-volmer behavior cscl alters solvation,C87D79F3F89,butler-volmer behavior cscl alters solvation,canonical
chaotropic salts,C87FC37CC2E,chaotropic salts,canonical
p-type thermopower,C8813D5AF22,p-type thermopower,canonical
temperature-dependent electrode potential,C8863595B3A,temperature-dependent electrode potential,canonical
dE/dT,C8863595B3A,temperature-dependent electrode potential,controlled_rule
electrode thermogalvanic coefficient,C8863595B3A,temperature-dependent electrode potential,controlled_rule
temperature-dependent equilibrium potential,C8863595B3A,temperature-dependent electrode potential,controlled_rule
Sr2ZnX3,C88BBB71CA2,Sr2ZnX3,canonical
MxCo4A6B6,C88F3221123,MxCo4A6B6,canonical
LiTFSI4,C892643C376,LiTFSI4,canonical
iron electrode,C893D3D6E7B,iron electrode,canonical
iron plate,C893D3D6E7B,iron electrode,controlled_rule
K2Ge3As3,C896D29858A,K2Ge3As3,canonical
conductivity decreases,C8986EE9734,conductivity decreases,canonical
MgAu2F8,C89AF44088D,MgAu2F8,canonical
CuCrS2,C89EEAA9F17,CuCrS2,canonical
interfacially modified ion diffusion channels,C89F82CEAEE,interfacially modified ion diffusion channels,canonical
NH4,C8A6C84DB46,NH4,canonical
Zr3Pt3Sb4,C8A903C87CF,Zr3Pt3Sb4,canonical
increases redox reaction entropy change,C8AA34171CE,increases redox reaction entropy change,canonical
ion diffusion,C8AD5B453CC,ion diffusion,canonical
diffusion of cations,C8AD5B453CC,ion diffusion,controlled_rule
diffusion of ions,C8AD5B453CC,ion diffusion,controlled_rule
ionic diffusion,C8AD5B453CC,ion diffusion,controlled_rule
MCoSb3,C8AD6B3113B,MCoSb3,canonical
surface solvation structures,C8B610996AD,surface solvation structures,canonical
AgBO2,C8B6AD9BE39,AgBO2,canonical
higher seebeck coefficient,C8B8E9522B3,higher seebeck coefficient,canonical
maximum seebeck,C8B9728C32C,maximum seebeck,canonical
urea. reconstructed lignocellulose ion channels enriched,C8BAB49DC7A,urea. reconstructed lignocellulose ion channels enriched,canonical
ZnCl2,C8BE37D8558,ZnCl2,canonical
ZnSO4,C8C4260ADAE,ZnSO4,canonical
promoting cation thermodiffusion,C8C74FA9F26,promoting cation thermodiffusion,canonical
Ba3SiO,C8C85AF4AA9,Ba3SiO,canonical
chaotropic ions,C8C8E6540A5,chaotropic ions,canonical
eliminates soret effect,C8CBE420A6B,eliminates soret effect,canonical
LiMn2O4,C8CF1EF39F6,LiMn2O4,canonical
ac conductivity,C8CF7730997,ac conductivity,canonical
Yb4Sb3,C8D0CD931CC,Yb4Sb3,canonical
LiBF4,C8D36DB3ADB,LiBF4,canonical
Ba2Cd2As3,C8DDAF28F0A,Ba2Cd2As3,canonical
Zn2AsBr,C8DE1FA27C3,Zn2AsBr,canonical
colligative effects suppress ice crystallization,C8DE7BDD1D1,colligative effects suppress ice crystallization,canonical
CaCNi3,C8E02755AA9,CaCNi3,canonical
ionic thermodiffusion rate,C8E579D41C6,ionic thermodiffusion rate,canonical
TlCaI3,C8E74700629,TlCaI3,canonical
XAgO2,C8ED8DFF137,XAgO2,canonical
Seebeck coefficient/thermopower,C8F254FA6F8,Seebeck coefficient/thermopower,canonical
Seebeck Coefficient,C8F254FA6F8,Seebeck coefficient/thermopower,controlled_rule
Thermopower,C8F254FA6F8,Seebeck coefficient/thermopower,controlled_rule
Ba2CePtO6,C8F3B6406D5,Ba2CePtO6,canonical
Rb2GaAgBr6,C8F48C2D3C6,Rb2GaAgBr6,canonical
DPPNMe3Br,C8F6213B74B,DPPNMe3Br,canonical
In2O3,C8F80602F04,In2O3,canonical
Ba8Au6,C8FA5FEE74F,Ba8Au6,canonical
Tm2S3,C901936021F,Tm2S3,canonical
VO2,C902492130E,VO2,canonical
soret concentration gradients develop on bulk diffusion time,C908462B0E2,soret concentration gradients develop on bulk diffusion time,canonical
ZnFe2O4,C90B2ED9EBF,ZnFe2O4,canonical
LiMgH3,C90BFEE17AB,LiMgH3,canonical
half-Heusler alloy,C90CB9C3175,half-Heusler alloy,canonical
half-Heusler,C90CB9C3175,half-Heusler alloy,controlled_rule
M2NdCuCl6,C90F16FC59B,M2NdCuCl6,canonical
zwitterionic hydrogel ion regulation,C90F2267A45,zwitterionic hydrogel ion regulation,canonical
NdOs4As12,C910A8488D3,NdOs4As12,canonical
Rb2GeBr6,C920238EEAC,Rb2GeBr6,canonical
FeCdS3,C921976A601,FeCdS3,canonical
Cs2RbScI6,C92C8729F8C,Cs2RbScI6,canonical
MX2,C9316052573,MX2,canonical
carboxylated chitosan redox additive,C93595769C5,carboxylated chitosan redox additive,canonical
MgEu2S4,C937B5C1A37,MgEu2S4,canonical
Cu3Sb0,C93A8F98DEA,Cu3Sb0,canonical
EMImFeCl4,C93E1F9F6DF,EMImFeCl4,canonical
carbon nanotube/cellulose nanocrystal photothermal nanocomposite,C9438B7970E,carbon nanotube/cellulose nanocrystal photothermal nanocomposite,canonical
CuO4+,C94B71C32F5,CuO4+,canonical
negatively charged electrolyte nanochannels,C94BBE09E98,negatively charged electrolyte nanochannels,canonical
evaporative cooling/concentration,C94EB903229,evaporative cooling/concentration,canonical
"evaporation constitutes a critical frontier in the global water-energy-resource nexus, yet it is constrained by the tight coupling among evaporation, salt crystallization, and thermal management. Herein, we report a mangrove-inspired 2D poly(vinyl alcohol)/poly(ionic liquid) (PIL) hydrogel (PVIL) evaporator integrated with a thermoelectric generator (TEG) that achieves spatial decoupling: vapor generation at the top, continuous salt harvesting at lateral edges, and energy recovery at the bottom. Mechanistically, fixed cationic imidazolium groups in the PIL network induce Donnan exclusion that suppresses ion accumulation near the evaporation interface, while a unidirectional water supply promotes edge-directed lateral transport of concentrated brine, leading to preferential salt crystallization at the edges. This unique repel-and-transport architecture enables continuous operation in 10 wt% NaCl for over 5 months, achieving a cumulative brine processing of 8.2 t m-2 while harvesting 0.86 t m-2 of solid salt. Meanwhile, a latent heat-assisted cool",C94EB903229,evaporative cooling/concentration,controlled_rule
evaporation creates electrolyte concentration gradient,C94EB903229,evaporative cooling/concentration,controlled_rule
"evaporation removes heat, enabling simultaneous evaporative cool",C94EB903229,evaporative cooling/concentration,controlled_rule
evaporative cool,C94EB903229,evaporative cooling/concentration,controlled_rule
"evaporative cooling, maintaining a stable Seebeck coefficient of 0.47 mV K-1 after 10 cool",C94EB903229,evaporative cooling/concentration,controlled_rule
Li2O-1,C95135079E8,Li2O-1,canonical
volume phase transition,C9516FFBFC5,volume phase transition,canonical
PtCl4,C9532ECA242,PtCl4,canonical
facilitates anion thermodiffusion,C95572A6EAF,facilitates anion thermodiffusion,canonical
increases polymer entropy elasticity,C9561D09710,increases polymer entropy elasticity,canonical
Li5La3Ta2O12,C95989F244E,Li5La3Ta2O12,canonical
AlMgBr3,C95EEF14566,AlMgBr3,canonical
TeO2,C962BA9CB74,TeO2,canonical
graphene oxide,C9642D16DCA,graphene oxide,canonical
GO,C9642D16DCA,graphene oxide,controlled_rule
ion channels,C96681C9193,ion channels,canonical
thermosensitive crystallization,C967653EA5F,thermosensitive crystallization,canonical
MgSc2Te4,C967DD8007A,MgSc2Te4,canonical
XZn2Si2,C969663D29A,XZn2Si2,canonical
charge-transfer resistance reduction,C972E5A18FC,charge-transfer resistance reduction,canonical
reduce charge-transfer resistance,C972E5A18FC,charge-transfer resistance reduction,controlled_rule
antisolvent high-entropy liquid-flow thermocell,C9730E068AF,antisolvent high-entropy liquid-flow thermocell,canonical
[CnC1Im],C973BA42087,[CnC1Im],canonical
diffusion in the polymer matrix generates thermodiffusion voltage,C974EC11B19,diffusion in the polymer matrix generates thermodiffusion voltage,canonical
Ba2Mg3Si4,C97831272BB,Ba2Mg3Si4,canonical
n-type seebeck,C978AB915B2,n-type seebeck,canonical
chaotropic comonomer,C979397251D,chaotropic comonomer,canonical
CdTe2,C979FD433B6,CdTe2,canonical
CaZn2Ge2,C97D236DDA8,CaZn2Ge2,canonical
thermally regenerative electrochemical cycle,C97F8E13D1A,thermally regenerative electrochemical cycle,canonical
TREC,C97F8E13D1A,thermally regenerative electrochemical cycle,controlled_rule
thermally regenerative electrochemical,C97F8E13D1A,thermally regenerative electrochemical cycle,controlled_rule
adding soret contribution to thermogalvanic voltage,C98A56188CE,adding soret contribution to thermogalvanic voltage,canonical
NiCo(CO3)(OH)2,C98B32BA22A,NiCo(CO3)(OH)2,canonical
cation transport,C98C1040415,cation transport,canonical
4-/3-. synergistic thermodiffusion of salt ions,C98FD47A8E4,4-/3-. synergistic thermodiffusion of salt ions,canonical
carbon nanotube,C9910E60ABA,carbon nanotube,canonical
CNT,C9910E60ABA,carbon nanotube,controlled_rule
CNTs,C9910E60ABA,carbon nanotube,controlled_rule
MWCNT,C9910E60ABA,carbon nanotube,controlled_rule
carbon nanotubes,C9910E60ABA,carbon nanotube,controlled_rule
ZrH0,C9948EBA8B8,ZrH0,canonical
seebeck coefficients,C9968B5FA4F,seebeck coefficients,canonical
Cu2PbGeS4,C9980F27F69,Cu2PbGeS4,canonical
NaCu5S3,C99A8EFC75D,NaCu5S3,canonical
Ce5Pb3,C99C072A1D4,Ce5Pb3,canonical
K2Hg2Se3,C9A1F0B18BA,K2Hg2Se3,canonical
higher electrical conductivity,C9A2B882A47,higher electrical conductivity,canonical
Ag2SxSe1,C9A45317A49,Ag2SxSe1,canonical
Cu3Sb1,C9AAA4B469B,Cu3Sb1,canonical
CsNdCdTe3,C9AAF269366,CsNdCdTe3,canonical
CuO4,C9ABCB8BD90,CuO4,canonical
phonon scattering,C9AFE334F36,phonon scattering,canonical
scattering a wider range of phonon,C9AFE334F36,phonon scattering,controlled_rule
scattering at low temperatures and temperature-independent phonon,C9AFE334F36,phonon scattering,controlled_rule
"scattering by impurities, phonons. The absolute value of the Seebeck coefficient decreases, but the power factor significantly increases owing to the rise in electrical conductivity. Thermal conductivity and lattice thermal conductivity decrease primarily due to lattice distortion, scattering by impurities and defects, electron-phonon",C9AFE334F36,phonon scattering,controlled_rule
scattering center for electric carrier and phonon,C9AFE334F36,phonon scattering,controlled_rule
scattering couples particle and phonon,C9AFE334F36,phonon scattering,controlled_rule
"scattering data measured up to large scattering vectors, accurate analysis of both the average crystal structure as well as the local correlations is carried out to shed light on the Cu movements. The Cu ions show large vibrations with extreme anharmonicity and mainly move within a tetrahedron-shaped volume in the structure. From the analysis of weak features in the observed electron density, the possible diffusion pathway of Cu is identified, and it is clear from its low density that jumps between sites are infrequent compared with the time the Cu ions spend vibrating around each site. These findings support the conclusions drawn from recent quasi-elastic neutron scattering data, casting doubt on the phonon",C9AFE334F36,phonon scattering,controlled_rule
"scattering effects and ionic conductivity. Herein, we propose a novel path of in-situ forming endotaxial CsPbBr3 nanoprecipitates within a Cu1.96S matrix. It is found that the valence band alignment and crystallographic coherence facilitate carrier mobility. The endotaxial nanostructures decrease ionic conductivity and lattice thermal conductivity by Cu ion suppression and all-scale phonon scattering enhancement. Consequently, a peak ZT of 2.4 is realized in Cu1.96S-1.16 vol% CsPbBr3 specimen at 973 K. This approach offers a novel framework for regulating carrier, phonon",C9AFE334F36,phonon scattering,controlled_rule
"scattering experiments. Using the dynamical structure factor and Van Hove correlation function, we interrogate the jump time, hopping length distribution, and associated diffusion coefficients. In cubic Cu2Se at 500 K, we find solidlike diffusion with Cu jump lengths matching well the first-neighbor Cu-Cu distance of similar to 3 A in the crystal, and clearly defined optic phonons involving Cu vibrations. Above 700 K, the jump-length distribution becomes a broad maximum centered around 4 A, spanning the first and second neighbor lattice distances, and a concurrent broadening of the Cu-phonon",C9AFE334F36,phonon scattering,controlled_rule
"scattering in the system. Both Stokes and anti-Stokes Raman spectroscopy were performed for the three optical phonon modes of the Bi2Se3 crystals. These peaks were centered at 74.5 cm(-1), 133.4 cm(-1), and 175.2 cm(-1) and were attributable to the A(1g)(1), E-g(2), and A(1g)(2) modes, respectively. With an increase in the doping concentration, the magnetic and compressive strains induced by impurities dominate the phonon",C9AFE334F36,phonon scattering,controlled_rule
scattering is employed to unravel that phonon softening on heating to T-c & AP; 350 K triggers fast Ag diffusion in the canonical superionic Argyrodite Ag8GeSe6. Ab initio molecular dynamics simulations reproduce the experimental neutron scattering signals and identify the partially ultrafast Ag diffusion with a large diffusion coefficient of 10(-4) cm(-2) s(-1). The study illustrates the microscopic interconnection between soft phonon,C9AFE334F36,phonon scattering,controlled_rule
